k	compression rate
1	0.008637276128571627
11	0.07182894206117027
21	0.13502060799376892
31	0.19821227392636756
41	0.2614039398589662
51	0.3245956057915649
61	0.3877872717241635
71	0.45097893765676217
81	0.5141706035893608
91	0.5773622695219595
101	0.6405539354545581
111	0.7037456013871567
121	0.7669372673197554
131	0.830128933252354
141	0.8933205991849527
151	0.9565122651175514
161	1.01970393105015
171	1.0828955969827487
181	1.1460872629153473
191	1.209278928847946
201	1.2724705947805446
211	1.3356622607131432
221	1.3988539266457418
231	1.4620455925783404
241	1.525237258510939
251	1.588428924443538
261	1.6516205903761365
271	1.7148122563087351
281	1.7780039222413337
291	1.8411955881739324
301	1.904387254106531
311	1.9675789200391296
321	2.0307705859717284
331	2.093962251904327
341	2.1571539178369257
351	2.2203455837695243
361	2.283537249702123
371	2.3467289156347215
381	2.40992058156732
391	2.4731122474999188
401	2.5363039134325174
411	2.599495579365116
421	2.6626872452977146
431	2.7258789112303137
441	2.7890705771629123
451	2.852262243095511
461	2.9154539090281095
471	2.978645574960708
481	3.0418372408933068
491	3.1050289068259054
1	0.008637276128571627
11	0.07182894206117027
21	0.13502060799376892
31	0.19821227392636756
41	0.2614039398589662
51	0.3245956057915649
61	0.3877872717241635
71	0.45097893765676217
81	0.5141706035893608
91	0.5773622695219595
101	0.6405539354545581
111	0.7037456013871567
121	0.7669372673197554
131	0.830128933252354
141	0.8933205991849527
151	0.9565122651175514
161	1.01970393105015
171	1.0828955969827487
181	1.1460872629153473
191	1.209278928847946
201	1.2724705947805446
211	1.3356622607131432
221	1.3988539266457418
231	1.4620455925783404
241	1.525237258510939
251	1.588428924443538
261	1.6516205903761365
271	1.7148122563087351
281	1.7780039222413337
291	1.8411955881739324
301	1.904387254106531
311	1.9675789200391296
321	2.0307705859717284
331	2.093962251904327
341	2.1571539178369257
351	2.2203455837695243
361	2.283537249702123
371	2.3467289156347215
381	2.40992058156732
391	2.4731122474999188
401	2.5363039134325174
411	2.599495579365116
421	2.6626872452977146
431	2.7258789112303137
441	2.7890705771629123
451	2.852262243095511
461	2.9154539090281095
471	2.978645574960708
481	3.0418372408933068
491	3.1050289068259054
